quotes,quoteName
"One good thing about music, when it hits you, you feel no pain.",Bob Marley
"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.",Plato
Music expresses that which cannot be said and on which it is impossible to be silent.,Victor Hugo
"I think music in itself is healing. It's an explosive expression of humanity. It's something we are all touched by. No matter what culture we're from, everyone loves music.",Billy Joel
Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,Maya Angelou
Music can change the world because it can change people.,Bono
"If music be the food of love, play on.",William Shakespeare
"When words leave off, music begins.",Heinrich Heine
Music washes away from the soul the dust of everyday life.,Berthold Auerbach
Music is the soundtrack of your life.,Dick Clark
"Music is the divine way to tell beautiful, poetic things to the heart.",Pablo Casals
The world's most famous and popular language is music.,Psy
Music should be your escape.,Missy Elliott
Music happens to be an art form that transcends language.,Herbie Hancock
The only love affair I have ever had was with music.,Maurice Ravel
Music is love in search of a word.,Sidney Lanier
"Music is forever; music should grow and mature with you, following you right on up until you die.",Paul Simon
Who hears music feels his solitude peopled at once.,Robert Browning
"Lean your body forward slightly to support the guitar against your chest, for the poetry of the music should resound in your heart.",Andres Segovia
Music is only love looking for words.,Lawrence Durrell
Music is the best means we have of digesting time.,W. H. Auden
There are more love songs than anything else. If songs could make you do something we'd all love one another.,Frank Zappa
"But when you get music and words together, that can be a very powerful thing.",Bryan Ferry
True music must repeat the thought and inspirations of the people and the time.,George Gershwin
"That was when I realised that music is the most profound, magical form of communication there is.",Lesley Garrett
All good music resembles something. Good music stirs by its mysterious resemblance to the objects and feelings which motivated it.,Jean Cocteau
"Where words fail, music speaks.",Hans Christian Andersen
"Without music, life would be a mistake.",Friedrich Nietzsche
"Music should strike fire from the heart of man, and bring tears from the eyes of woman.",Ludwig van Beethoven
Music is the strongest form of magic.,Marilyn Manson
Music is moonlight in the gloomy night of life.,Jean Paul
"Music doesn't lie. If there is something to be changed in this world, then it can only happen through music.",Jimi Hendrix
"After silence, that which comes nearest to expressing the inexpressible is music.",Aldous Huxley
Music is the shorthand of emotion.,Leo Tolstoy
"Music is God's gift to man, the only art of Heaven given to earth, the only art of earth we take to Heaven.",Walter Savage Landor
You are the music while the music lasts.,T. S. Eliot
There's nothing like music to relieve the soul and uplift it.,Mickey Hart
"Music is very spiritual, it has the power to bring people together.",Edgar Winter
Music is everybody's possession. It's only publishers who think that people own it.,John Lennon
Every song is like a painting.,Dick Dale
I see music as fluid architecture.,Joni Mitchell
Music is well said to be the speech of angels.,Thomas Carlyle
If a composer could say what he had to say in words he would not bother trying to say it in music.,Gustav Mahler
The wise musicians are those who play what they can master.,Duke Ellington
"Music has charms to sooth a savage breast, to soften rocks, or bend a knotted oak.",William Congreve
Music is nothing else but wild sounds civilized into time and tune.,Thomas Fuller
Music is always changing and the changes are unpredictable.,Billy Sheehan
"I guess a good song is a good song is a good song, ya know.",George Thorogood
